shot_id,timeline,mother_asset_id,mother_asset_path,source_timecode,original_duration,target_duration,actual_speed_ratio,derivation,usage_status,license_record
S01,00.00-01.20,R07,../asset-board-v1/assets/real-proxy/R07-pexels-5597653-dry-cracked-soil.jpg,still,still,1.20,1.000,"干裂土基底；与 R11 以 78/22 匹配合成",used,"Pexels License; Lucas George Wendt; https://www.pexels.com/photo/photo-of-dry-and-cracked-soil-5597653/; 2026-07-15"
S01,00.00-01.20,R11,../director-remediation-pass-001/assets/real-proxy/R11-pexels-4171514-ground-rain-impact-proxy.mp4,00.00-01.20,6.00,1.20,1.000,"真实撞击运动参考层；降饱和并以22%融入 R07",used,"Pexels License; Magda Ehlers; https://www.pexels.com/video/rain-pouring-down-the-ground-4171514/; 2026-07-15"
S02,01.20-03.85,R01,../asset-board-v1/assets/real-proxy/R01-pexels-13444705-rain-leaves-proxy.mp4,00.00-00.88,6.00,0.88,1.000,"叶片落雨快切",used,"Pexels License; Igor Haritanovich; https://www.pexels.com/video/raindrops-falling-on-leaves-13444705/; 2026-07-15"
S02,01.20-03.85,R09,../asset-board-v1/assets/real-proxy/R09-pexels-2905149-wet-cobblestone.jpg,still,still,0.88,1.000,"湿石板静帧快切",used,"Pexels License; Emmanuel Codden; https://www.pexels.com/photo/cobblestone-wet-after-rain-2905149/; 2026-07-15"
S02,01.20-03.85,R03,../asset-board-v1/assets/real-proxy/R03-pexels-7234789-wet-soil-proxy.mp4,00.40-01.29,6.00,0.89,1.000,"湿土快切",used,"Pexels License; Artem Podrez; https://www.pexels.com/video/close-up-video-of-a-wet-soil-7234789/; 2026-07-15"
S03,03.85-05.69,R04,../asset-board-v1/assets/real-proxy/R04-pexels-7232905-wet-soil-macro.jpg,still,still,1.84,1.000,"轻微程序化推近",used,"Pexels License; Artem Podrez; https://www.pexels.com/photo/macro-photography-of-wet-soil-7232905/; 2026-07-15"
S04,05.69-08.70,R14,assets/real-proxy/R14-mixkit-100912-leaf-tip-droplets-proxy.mp4,proxy 00.00-03.01 / source 00.18.00-00.21.01,3.01,3.01,1.000,"真实叶尖水滴聚集、拉长、脱落",used,"Mixkit Stock Video Free License; uploader not exposed on page; https://mixkit.co/free-stock-video/slow-motion-droplets-on-leaf-tip-100912/; downloaded 2026-07-15; social media edit permitted under license"
S05,08.70-12.32,PA05,work/shots/S05.mp4,00.00-03.62,3.62,3.62,1.000,"程序化派生；soil-column-R05-v2；底图依赖 R04/R05/R07",used,"Derivative validation asset; source licenses inherited from Pexels records in dependencies-v2.yaml"
S06,12.32-17.10,PA06,work/shots/S06.mp4,00.00-04.78,4.78,4.78,1.000,"程序化派生；soil-column-R05-v2；游离到吸附状态变化",used,"Derivative validation asset; source licenses inherited from Pexels records in dependencies-v2.yaml"
S07,17.10-21.38,PA07,work/shots/S07.mp4,00.00-04.28,4.28,4.28,1.000,"程序化派生；soil-column-R05-v2；菌丝微动与 Geosmin 标签",used,"Derivative validation asset; source licenses inherited from Pexels records in dependencies-v2.yaml"
S08,21.38-24.30,PB08,work/shots/S08.mp4,00.00-02.92,2.92,2.92,1.000,"程序化派生；B1 预状态首帧；撞击后回归精确交接几何",used,"Project-authored programmatic validation asset; reference provenance in mechanism-b-reference-pack-v2/reference-pack.json"
S09,24.30-27.35,G04,seedance/outputs/B1_S09_v2-candidate-4.mp4,00.00-03.05,5.041667,3.05,1.000,"采用前3.05秒并在末尾0.375秒交叉淡化到 G02 精确桥接帧",used,"Project account-generated output; Volcengine Seedance API; task cgt-20260715231939-bd75j; cost unknown"
S10,27.35-30.50,G02,../director-remediation-pass-001/seedance/outputs/B2_S10_S11-candidate-2.mp4,00.00-03.15,5.041667,3.15,1.000,"只保留合格的单气泡上升段",used,"Project account-generated output; Volcengine Seedance API; task cgt-20260715200457-ct6d8; cost unknown"
S11,30.50-35.06,PB11,work/shots/S11.mp4,00.00-04.56,4.56,4.56,1.000,"程序化派生；surface-contact 到 surface-after；极细气溶胶",used,"Project-authored programmatic validation asset; G02-derived reference frames only"
S12,35.06-39.77,R07,../asset-board-v1/assets/real-proxy/R07-pexels-5597653-dry-cracked-soil.jpg,still,still,4.71,1.000,"同一裂纹构图上的多点、裂缝驱动非均匀湿润",used,"Pexels License; Lucas George Wendt; https://www.pexels.com/photo/photo-of-dry-and-cracked-soil-5597653/; 2026-07-15"
S13,39.77-46.80,R13,../director-remediation-pass-001/assets/real-proxy/R13-pexels-32679329-rain-leaves-forest-proxy.mp4,00.00-03.715,6.00,3.715,1.000,"低饱和真实雨叶，末段0.4秒交叉淡化",used,"Pexels License; Rahime Gül; https://www.pexels.com/video/close-up-of-raindrops-on-leaves-in-a-forest-32679329/; 2026-07-15"
S13,39.77-46.80,R12,../director-remediation-pass-001/assets/real-proxy/R12-pexels-32675101-misty-forest-motion-proxy.mp4,00.00-03.715,6.00,3.715,1.000,"低饱和真实雾林，承接雨叶并收束",used,"Pexels License; PUWOOK Kwak; https://www.pexels.com/video/misty-forest-with-tall-trees-in-foggy-atmosphere-32675101/; 2026-07-15"
N/A,N/A,G03,seedance/outputs/B1_S09_v2-candidate-3.mp4,00.00-05.041667,5.041667,0.00,N/A,acquired_not_used,"Project account-generated output; Volcengine Seedance API; task cgt-20260715230936-qwwsz; rejected because opening already contained a bubble"
