asset_id,filename,original_page_url,author_uploader,platform,license_type,license_url,download_date,allowed_use,shot_ids,source_category,acquired,local_path,review_note
R01,R01-pexels-13444705-rain-leaves-proxy.mp4,https://www.pexels.com/video/raindrops-falling-on-leaves-13444705/,Igor Haritanovich,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,"S02,S13",real_external,yes,assets/real-proxy/R01-pexels-13444705-rain-leaves-proxy.mp4,6秒无声 720×1280 审片代理；真实雨滴打叶片，两次使用分别承担快节奏细节和收束前景。
R02,R02-pexels-5210312-leaf-droplet-proxy.mp4,https://www.pexels.com/video/droplet-of-water-from-a-leaf-5210312/,Kelly,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S04,real_external,yes,assets/real-proxy/R02-pexels-5210312-leaf-droplet-proxy.mp4,6秒无声 720×1280 审片代理；叶尖水滴形成并落下。
R03,R03-pexels-7234789-wet-soil-proxy.mp4,https://www.pexels.com/video/close-up-video-of-a-wet-soil-7234789/,Artem Podrez,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,"S02,S12",real_external,yes,assets/real-proxy/R03-pexels-7234789-wet-soil-proxy.mp4,6秒无声 720×1280 审片代理；湿泥土和细根，可承担湿土细节与旱后转湿对照。
R04,R04-pexels-7232905-wet-soil-macro.jpg,https://www.pexels.com/photo/macro-photography-of-wet-soil-7232905/,Artem Podrez,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S03,real_external,yes,assets/real-proxy/R04-pexels-7232905-wet-soil-macro.jpg,湿润土壤宏观纹理，留有标题负空间。
R05,R05-pexels-12763908-tree-roots-soil.jpg,https://www.pexels.com/photo/old-tree-roots-12763908/,Liudmyla Shalimova,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S06,real_external,yes,assets/real-proxy/R05-pexels-12763908-tree-roots-soil.jpg,根系与土壤真实质感，用于土壤吸附段的地表依据。
R06,R06-pexels-28922207-forest-floor.jpg,https://www.pexels.com/photo/forest-floor-with-moss-and-autumn-leaves-28922207/,Etoileala,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S06,real_external,yes,assets/real-proxy/R06-pexels-28922207-forest-floor.jpg,落叶、苔藓、根系和土粒层次，可与 R05 交替。
R07,R07-pexels-5597653-dry-cracked-soil.jpg,https://www.pexels.com/photo/photo-of-dry-and-cracked-soil-5597653/,Lucas George Wendt,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,"S01,S12",real_external,yes,assets/real-proxy/R07-pexels-5597653-dry-cracked-soil.jpg,干裂土表；S01 承担落滴前基底，S12 承担久旱语义，两次功能不同。
R08,R08-pexels-29579839-misty-forest.jpg,https://www.pexels.com/photo/moody-misty-forest-landscape-with-tall-pines-29579839/,Elina Volkova,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S13,real_external,yes,assets/real-proxy/R08-pexels-29579839-misty-forest.jpg,竖幅雾林真实照片，可做缓慢程序化拉远预览；正式版仍建议补真实动态。
R09,R09-pexels-2905149-wet-cobblestone.jpg,https://www.pexels.com/photo/cobblestone-wet-after-rain-2905149/,Emmanuel Codden,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S02,real_external,yes,assets/real-proxy/R09-pexels-2905149-wet-cobblestone.jpg,雨后湿石板纹理；静帧可做快切，正式版优先补落雨动态。
R10,R10-pexels-14675142-raindrops-leaf.jpg,https://www.pexels.com/photo/macro-of-raindrops-on-leaf-14675142/,Johanna,Pexels,Pexels License,https://www.pexels.com/license/,2026-07-15,Pexels License：可免费使用和修改，可用于社交媒体；不得转售未修改副本、不得暗示人物或品牌代言、不得在其他素材平台再分发。,S13,real_external,yes,assets/real-proxy/R10-pexels-14675142-raindrops-leaf.jpg,落叶上的雨珠真实宏观照片，用于收束段近景。
