shot_id,timeline,scene_group,derived_asset_id,underlying_source_id,underlying_source_path,source_page_url,author,platform,license_type,license_url,license_evidence_path,source_timecode,use_timecode,source_duration,target_duration,speed_ratio,derivation,true_reuse_count,usage_status,source_sha256
S01,00.00-01.20,opening_impact,S01-final,G06,seedance/outputs/S01-single-drop-candidate-r2.mp4,project://seedance/task/cgt-20260716131613-p6qhn,Project account,Volcengine Seedance,Project-account generated,project://provenance,licenses/project-provenance-evidence.md,00:00:00.000-00:00:01.500,00:00:00.000-00:00:01.208,5.041667,1.208,1.241,diagnosis-driven R2; first 36 frames compressed to preserve fall/contact/wet response; restrained cool grade,1,used,bcb2be3a39e2d609dd7829404d4ff0fe126313fabe077640b64cf247d40f32e0
S02,01.20-03.85,rain_details,S02-leaves,R01,../asset-board-v1/assets/real-proxy/R01-pexels-13444705-rain-leaves-proxy.mp4,https://www.pexels.com/video/raindrops-falling-on-leaves-13444705/,Igor Haritanovich,Pexels,Pexels License,https://www.pexels.com/license/,licenses/pexels-license-evidence.md,00:00:00.000-00:00:00.880,00:00:01.208-00:00:02.088,6.000,0.880,1.000,retained leaf-rain detail; unified cool grade,1,used,recorded-in-prior-round
S02,01.20-03.85,rain_details,S02-stone,R09,../asset-board-v1/assets/real-proxy/R09-pexels-2905149-wet-cobblestone.jpg,https://www.pexels.com/photo/cobblestone-wet-after-rain-2905149/,Emmanuel Codden,Pexels,Pexels License,https://www.pexels.com/license/,licenses/pexels-license-evidence.md,still,00:00:02.088-00:00:02.968,still,0.880,1.000,retained wet-stone detail; unified cool grade,1,used,recorded-in-prior-round
S02,01.20-03.85,rain_details,S02-soil,R03,../asset-board-v1/assets/real-proxy/R03-pexels-7234789-wet-soil-proxy.mp4,https://www.pexels.com/video/close-up-video-of-a-wet-soil-7234789/,Artem Podrez,Pexels,Pexels License,https://www.pexels.com/license/,licenses/pexels-license-evidence.md,00:00:00.400-00:00:01.290,00:00:02.968-00:00:03.858,6.000,0.890,1.000,retained wet-soil detail; unified cool grade,1,used,recorded-in-prior-round
S03,03.85-05.69,wet_soil_title,S03-retained,R04,../asset-board-v1/assets/real-proxy/R04-pexels-7232905-wet-soil-macro.jpg,https://www.pexels.com/photo/macro-photography-of-wet-soil-7232905/,Artem Podrez,Pexels,Pexels License,https://www.pexels.com/license/,licenses/pexels-license-evidence.md,still,00:00:03.833-00:00:05.667,still,1.833,1.000,retained gentle push-in and cool grade,1,used,recorded-in-prior-round
S04,05.69-08.70,leaf_tip,S04-retained,R14,../director-remediation-v2-001/assets/real-proxy/R14-mixkit-100912-leaf-tip-droplets-proxy.mp4,https://mixkit.co/free-stock-video/slow-motion-droplets-on-leaf-tip-100912/,Uploader not exposed,Mixkit,Mixkit Stock Video Free License,https://mixkit.co/license/#videoFree,licenses/mixkit-stock-video-free-license-evidence.md,proxy 00:00:00.000-00:00:03.000,00:00:05.708-00:00:08.708,3.000,3.000,1.000,retained; cool-wet grade only,1,used,recorded-in-prior-round
S05,08.70-12.32,mechanism_a_continuous,S05-mechanism-a,G08,seedance/outputs/mechanism-a-candidate-r2.mp4,project://seedance/task/cgt-20260716132440-hxpfc,Project account,Volcengine Seedance,Project-account generated,project://provenance,licenses/project-provenance-evidence.md,00:00:00.000-00:00:02.864,08.70-12.32,10.041667,3.625,0.790,same continuous diagnosis-driven R2 soil scene slowed uniformly; deterministic restrained adsorption/mycelia completion overlay,3,used,7715c9381d44dc820788b9eef5665366999d896f0c68aa90377203fb28371791
S06,12.32-17.10,mechanism_a_continuous,S06-mechanism-a,G08,seedance/outputs/mechanism-a-candidate-r2.mp4,project://seedance/task/cgt-20260716132440-hxpfc,Project account,Volcengine Seedance,Project-account generated,project://provenance,licenses/project-provenance-evidence.md,00:00:02.864-00:00:06.650,12.32-17.10,10.041667,4.792,0.790,same continuous diagnosis-driven R2 soil scene slowed uniformly; deterministic restrained adsorption/mycelia completion overlay,3,used,7715c9381d44dc820788b9eef5665366999d896f0c68aa90377203fb28371791
S07,17.10-21.38,mechanism_a_continuous,S07-mechanism-a,G08,seedance/outputs/mechanism-a-candidate-r2.mp4,project://seedance/task/cgt-20260716132440-hxpfc,Project account,Volcengine Seedance,Project-account generated,project://provenance,licenses/project-provenance-evidence.md,00:00:06.650-00:00:10.042,17.10-21.38,10.041667,4.292,0.790,same continuous diagnosis-driven R2 soil scene slowed uniformly; deterministic restrained adsorption/mycelia completion overlay,3,used,7715c9381d44dc820788b9eef5665366999d896f0c68aa90377203fb28371791
S08,21.38-24.30,mechanism_b_entry,PA08,PA08,../director-remediation-v2-001/work/shots/S08.mp4,project://programmatic/S08,Project renderer,Local deterministic render,Project-authored,project://provenance,licenses/project-provenance-evidence.md,00:00:00.000-00:00:02.917,00:00:21.375-00:00:24.292,2.917,2.917,1.000,restrictive geometry transition refinement,1,used,generated-on-render
